Year   Token IDs                 Decoded Tokens            #Tokens  Next Token
1700   [1722, 361]               ['17', '00']              2        were      
1701   [1722, 520]               ['17', '01']              2        was       
1702   [1722, 2640]              ['17', '02']              2        was       
1703   [1722, 2941]              ['17', '03']              2        was       
1704   [1722, 2125]              ['17', '04']              2        was       
1705   [1722, 1762]              ['17', '05']              2        was       
1706   [1722, 3071]              ['17', '06']              2        was       
1707   [1722, 2922]              ['17', '07']              2        was       
1708   [1722, 2904]              ['17', '08']              2        was       
1709   [1722, 2693]              ['17', '09']              2        was       
1710   [1722, 740]               ['17', '10']              2        was       
1711   [1722, 883]               ['17', '11']              2        was       
1712   [1722, 805]               ['17', '12']              2        was       
1713   [1722, 1012]              ['17', '13']              2        was       
1714   [1722, 1047]              ['17', '14']              2        was       
1715   [1722, 1010]              ['17', '15']              2        was       
1716   [1722, 1036]              ['17', '16']              2        was       
1717   [1722, 1166]              ['17', '17']              2        was       
1718   [1722, 1093]              ['17', '18']              2        was       
1719   [1722, 746]               ['17', '19']              2        was       
1720   [1722, 938]               ['17', '20']              2        were      
1721   [1722, 1797]              ['17', '21']              2        was       
1722   [1722, 1423]              ['17', '22']              2        was       
1723   [1722, 1508]              ['17', '23']              2        was       
1724   [1722, 1348]              ['17', '24']              2        was       
1725   [1722, 1099]              ['17', '25']              2        were      
1726   [1722, 1731]              ['17', '26']              2        was       
1727   [1722, 1630]              ['17', '27']              2        was       
1728   [1722, 1619]              ['17', '28']              2        was       
1729   [1722, 1717]              ['17', '29']              2        was       
1730   [1722, 1229]              ['17', '30']              2        were      
1731   [1722, 2405]              ['17', '31']              2        was       
1732   [1722, 1237]              ['17', '32']              2        was       
1733   [1722, 1610]              ['17', '33']              2        was       
1734   [1722, 1706]              ['17', '34']              2        was       
1735   [1722, 1671]              ['17', '35']              2        was       
1736   [1722, 1812]              ['17', '36']              2        was       
1737   [1722, 1787]              ['17', '37']              2        was       
1738   [1722, 1839]              ['17', '38']              2        was       
1739   [1722, 1867]              ['17', '39']              2        was       
1740   [1722, 1449]              ['17', '40']              2        were      
1741   [1722, 3156]              ['17', '41']              2        were      
1742   [1722, 2945]              ['17', '42']              2        was       
1743   [1722, 3079]              ['17', '43']              2        was       
1744   [1722, 2031]              ['17', '44']              2        was       
1745   [1722, 1857]              ['17', '45']              2        was       
1746   [1722, 2950]              ['17', '46']              2        was       
1747   [1722, 2504]              ['17', '47']              2        was       
1748   [1722, 2385]              ['17', '48']              2        was       
1749   [1722, 2537]              ['17', '49']              2        was       
1750   [1722, 1235]              ['17', '50']              2        were      
1751   [1722, 3712]              ['17', '51']              2        was       
1752   [1722, 3583]              ['17', '52']              2        was       
1753   [1722, 3357]              ['17', '53']              2        was       
1754   [1722, 3439]              ['17', '54']              2        was       
1755   [1722, 2417]              ['17', '55']              2        was       
1756   [1722, 3208]              ['17', '56']              2        was       
1757   [1722, 3011]              ['17', '57']              2        was       
1758   [1722, 3680]              ['17', '58']              2        was       
1759   [1722, 3046]              ['17', '59']              2        was       
1760   [1722, 1549]              ['17', '60']              2        were      
1761   [1722, 3832]              ['17', '61']              2        was       
1762   [1722, 3763]              ['17', '62']              2        was       
1763   [1722, 3571]              ['17', '63']              2        was       
1764   [1722, 1540]              ['17', '64']              2        was       
1765   [1722, 2082]              ['17', '65']              2        were      
1766   [1722, 2526]              ['17', '66']              2        was       
1767   [1722, 2251]              ['17', '67']              2        were      
1768   [1722, 2358]              ['17', '68']              2        was       
1769   [1722, 2090]              ['17', '69']              2        were      
1770   [1722, 1967]              ['17', '70']              2        were      
1771   [1722, 3677]              ['17', '71']              2        were      
1772   [1722, 3547]              ['17', '72']              2        was       
1773   [1722, 3655]              ['17', '73']              2        was       
1774   [1722, 3566]              ['17', '74']              2        were      
1775   [1722, 1976]              ['17', '75']              2        were      
1776   [1722, 3121]              ['17', '76']              2        were      
1777   [1722, 2357]              ['17', '77']              2        were      
1778   [1722, 3141]              ['17', '78']              2        were      
1779   [1722, 2787]              ['17', '79']              2        were      
1780   [1722, 1438]              ['17', '80']              2        were      
1781   [1722, 3593]              ['17', '81']              2        were      
1782   [1722, 3507]              ['17', '82']              2        was       
1783   [1722, 3245]              ['17', '83']              2        was       
1784   [1722, 2759]              ['17', '84']              2        was       
1785   [1722, 2227]              ['17', '85']              2        was       
1786   [1722, 2691]              ['17', '86']              2        were      
1787   [1722, 2597]              ['17', '87']              2        were      
1788   [1722, 2055]              ['17', '88']              2        was       
1789   [1722, 2511]              ['17', '89']              2        were      
1790   [1722, 2270]              ['17', '90']              2        were      
1791   [1722, 4739]              ['17', '91']              2        were      
1792   [1722, 4529]              ['17', '92']              2        was       
1793   [1722, 4590]              ['17', '93']              2        was       
1794   [1722, 3953]              ['17', '94']              2        was       
1795   [1722, 2222]              ['17', '95']              2        was       
1796   [1722, 4196]              ['17', '96']              2        was       
1797   [1722, 4148]              ['17', '97']              2        was       
1798   [1722, 4185]              ['17', '98']              2        was       
1799   [1722, 1525]              ['17', '99']              2        was       
1800   [29316]                   ['1800']                  1        were      
1801   [1283, 520]               ['18', '01']              2        were      
1802   [1283, 2640]              ['18', '02']              2        was       
1803   [1283, 2941]              ['18', '03']              2        was       
1804   [1283, 2125]              ['18', '04']              2        were      
1805   [1283, 1762]              ['18', '05']              2        were      
1806   [1283, 3071]              ['18', '06']              2        were      
1807   [1283, 2922]              ['18', '07']              2        were      
1808   [1283, 2904]              ['18', '08']              2        were      
1809   [1283, 2693]              ['18', '09']              2        were      
1810   [1283, 740]               ['18', '10']              2        were      
1811   [1283, 883]               ['18', '11']              2        was       
1812   [1283, 805]               ['18', '12']              2        were      
1813   [1283, 1012]              ['18', '13']              2        was       
1814   [1283, 1047]              ['18', '14']              2        was       
1815   [1283, 1010]              ['18', '15']              2        was       
1816   [1283, 1036]              ['18', '16']              2        was       
1817   [1283, 1166]              ['18', '17']              2        was       
1818   [1283, 1093]              ['18', '18']              2        was       
1819   [1283, 746]               ['18', '19']              2        was       
1820   [1283, 938]               ['18', '20']              2        were      
1821   [1283, 1797]              ['18', '21']              2        was       
1822   [1283, 1423]              ['18', '22']              2        were      
1823   [1283, 1508]              ['18', '23']              2        was       
1824   [1283, 1348]              ['18', '24']              2        was       
1825   [1283, 1099]              ['18', '25']              2        were      
1826   [1283, 1731]              ['18', '26']              2        was       
1827   [1283, 1630]              ['18', '27']              2        was       
1828   [1283, 1619]              ['18', '28']              2        was       
1829   [1283, 1717]              ['18', '29']              2        was       
1830   [46215]                   ['1830']                  1        were      
1831   [1283, 2405]              ['18', '31']              2        were      
1832   [1283, 1237]              ['18', '32']              2        was       
1833   [1283, 1610]              ['18', '33']              2        was       
1834   [1283, 1706]              ['18', '34']              2        was       
1835   [1283, 1671]              ['18', '35']              2        was       
1836   [1283, 1812]              ['18', '36']              2        was       
1837   [1283, 1787]              ['18', '37']              2        was       
